country;start_date;ilness_people;death_people;suspected;healthed
Brazil;2020-02-26; 1 ; 0   ; 20 ; 0   
Brazil;2020-02-27; 2 ; 0   ; 132 ; 0   
Brazil;2020-02-28; 2 ; 0   ; 134 ; 0   
Brazil;2020-02-29; 2 ; 0   ; 136 ; 0   
Brazil;2020-03-01; 2 ; 0   ; 252 ; 0   
Brazil;2020-03-02; 4 ; 0   ; 386 ; 0   
Brazil;2020-03-03; 4 ; 0   ; 441 ; 0   
Brazil;2020-03-04; 6 ; 0   ; 518 ; 0   
Brazil;2020-03-05; 8 ; 0   ; 593 ; 0   
Brazil;2020-03-06; 13 ; 0   ; 671 ; 0   
Brazil;2020-03-07; 18 ; 0   ; 749 ; 0   
Brazil;2020-03-08; 23 ; 0   ; 829 ; 0   
Brazil;2020-03-09; 28 ; 0   ; 909 ; 0   
Brazil;2020-03-10; 33 ; 0   ; 990 ; 0   
Brazil;2020-03-11; 69 ; 0   ; 1072 ; 0   
Brazil;2020-03-12; 105 ; 0   ; 1155 ; 0   
Brazil;2020-03-13; 121 ; 0   ; 1496 ; 1 
Brazil;2020-03-14; 137 ; 0   ; 1563 ; 2 
Brazil;2020-03-15; 153 ; 0   ; 1649 ; 4 
Brazil;2020-03-16; 169 ; 0   ; 1734 ; 4 
Brazil;2020-03-17; 234 ; 0   ; 1819 ; 4 
Brazil;2020-03-18; 291 ; 1 ; 1904 ; 5 
Brazil;2020-03-21; 904 ; 11 ; 1990 ; 5 
Brazil;2020-03-22; 1128 ; 18 ; 2075 ; 5 
Brazil;2020-03-24; 1891 ; 34 ; 2161 ; 6 
